protein,ispred_percentage_of_annotated_1,ispred_percentage_of_predicted_1,ispred_percentage_of_annotated_2,ispred_percentage_of_predicted_2,ispred_dis_total_1_2,dockpred_percentage_of_annotated_1,dockpred_percentage_of_predicted_1,dockpred_percentage_of_annotated_2,dockpred_percentage_of_predicted_2,dockpred_dis_total_1_2,vorffip_percentage_of_annotated_1,vorffip_percentage_of_predicted_1,vorffip_percentage_of_annotated_2,vorffip_percentage_of_predicted_2,vorffip_dis_total_1_2,metappisp_percentage_of_annotated_1,metappisp_percentage_of_predicted_1,metappisp_percentage_of_annotated_2,metappisp_percentage_of_predicted_2,metappisp_dis_total_1_2
3NH7,100.0,87.5,0.0,12.5,41.3942,61.9,41.67,38.1,58.33,23.2861,100.0,62.5,0.0,37.5,38.7417,57.14,91.67,42.86,8.33,19.1203
5A3I,0.0,77.78,100.0,22.22,45.4483,100.0,30.56,0.0,69.44,46.9,100.0,58.33,0.0,41.67,48.7908,0.0,83.33,100.0,16.67,41.4708
4OII,100.0,30.77,0.0,69.23,22.5449,19.05,92.31,80.95,7.69,18.2074,23.81,96.15,76.19,3.85,19.9491,100.0,15.38,0.0,84.62,21.6366
4KUC,0.0,89.66,100.0,10.34,32.0777,100.0,68.97,0.0,31.03,38.0699,100.0,51.72,0.0,48.28,36.6925,0.0,82.76,100.0,17.24,35.5976
1ORS,100.0,37.04,0.0,62.96,34.709,10.0,81.48,90.0,18.52,23.1225,0.0,59.26,100.0,40.74,32.5427,10.0,51.85,90.0,48.15,11.8032
4DGI,100.0,87.5,0.0,12.5,27.0734,0.0,70.83,100.0,29.17,20.2697,0.0,66.67,100.0,33.33,29.2471,0.0,100.0,100.0,0.0,28.2917
4LU5,100.0,27.27,0.0,72.73,20.3235,0.0,86.36,100.0,13.64,19.7501,0.0,81.82,100.0,18.18,21.004,0.0,90.91,100.0,9.09,21.7162
4L5F,100.0,30.43,0.0,69.57,23.6481,100.0,39.13,0.0,60.87,29.3999,100.0,39.13,0.0,60.87,25.8145,0.0,100.0,100.0,0.0,25.997
3BGF,100.0,65.22,0.0,34.78,87.3755,100.0,80.43,0.0,19.57,111.5038,100.0,67.39,0.0,32.61,99.3188,100.0,52.17,0.0,47.83,102.9674
5B3J,100.0,84.38,0.0,15.62,44.631,100.0,34.38,0.0,65.62,40.3812,0.0,84.38,100.0,15.62,44.9889,100.0,50.0,0.0,50.0,47.931
3WIH,0.0,79.31,100.0,20.69,67.3476,100.0,75.86,0.0,24.14,56.8894,0.0,51.72,100.0,48.28,68.1592,66.67,62.07,33.33,37.93,12.6488
4XAK,76.92,64.29,23.08,35.71,22.3563,100.0,67.86,0.0,32.14,23.159,100.0,82.14,0.0,17.86,39.4728,100.0,82.14,0.0,17.86,35.8507
2BDN,64.71,66.67,35.29,33.33,14.7766,82.35,42.86,17.65,57.14,13.4305,64.71,42.86,35.29,57.14,16.9797,64.71,90.48,35.29,9.52,15.3978
1LK3,58.82,50.0,41.18,50.0,41.8698,58.82,80.77,41.18,19.23,33.3721,58.82,53.85,41.18,46.15,38.6665,58.82,96.15,41.18,3.85,39.1624
3PNW,100.0,50.0,0.0,50.0,33.8914,100.0,86.36,0.0,13.64,22.2472,0.0,50.0,100.0,50.0,29.744,46.67,86.36,53.33,13.64,12.4033
5I9Q,13.64,71.88,86.36,28.12,27.1082,100.0,18.75,0.0,81.25,33.3787,100.0,46.88,0.0,53.12,35.6215,100.0,53.12,0.0,46.88,31.594
4O9H,0.0,73.08,100.0,26.92,24.268,100.0,53.85,0.0,46.15,28.584,100.0,57.69,0.0,42.31,28.0866,0.0,100.0,100.0,0.0,27.6312
5L0Q,100.0,57.69,0.0,42.31,50.2592,20.0,50.0,80.0,50.0,14.6361,100.0,80.77,0.0,19.23,47.4519,80.0,76.92,20.0,23.08,11.7675
4F15,0.0,80.56,100.0,19.44,48.3901,0.0,100.0,100.0,0.0,45.7453,100.0,80.56,0.0,19.44,59.152,0.0,100.0,100.0,0.0,48.8489
2FD6,100.0,32.26,0.0,67.74,36.0946,0.0,70.97,100.0,29.03,20.8306,100.0,64.52,0.0,35.48,32.7104,0.0,96.77,100.0,3.23,20.8748
4YDJ,100.0,59.38,0.0,40.62,29.8748,100.0,34.38,0.0,65.62,31.0531,100.0,50.0,0.0,50.0,32.3363,80.77,12.5,19.23,87.5,21.4628
3LIZ,0.0,77.42,100.0,22.58,31.4083,11.11,96.77,88.89,3.23,29.0266,0.0,90.32,100.0,9.68,31.6708,100.0,38.71,0.0,61.29,30.9582
4M62,93.33,56.0,6.67,44.0,20.251,66.67,68.0,33.33,32.0,16.2016,100.0,68.0,0.0,32.0,19.0755,66.67,76.0,33.33,24.0,14.8444
1ZTX,100.0,75.0,0.0,25.0,27.0583,6.67,83.33,93.33,16.67,17.0086,100.0,45.83,0.0,54.17,21.8399,100.0,33.33,0.0,66.67,20.3763
2Q8A,100.0,70.97,0.0,29.03,37.6047,100.0,48.39,0.0,51.61,36.113,0.0,74.19,100.0,25.81,33.1632,0.0,96.77,100.0,3.23,30.8723
4FP8,0.0,100.0,100.0,0.0,53.7492,0.0,88.89,100.0,11.11,53.4794,100.0,72.22,0.0,27.78,68.7355,0.0,100.0,100.0,0.0,40.8541
5F9O,4.55,78.12,95.45,21.88,28.6891,100.0,34.38,0.0,65.62,31.373,100.0,50.0,0.0,50.0,32.1773,95.45,12.5,4.55,87.5,26.1506
4LEO,0.0,65.79,100.0,34.21,57.1088,0.0,55.26,100.0,44.74,59.2594,0.0,68.42,100.0,31.58,54.8971,100.0,10.53,0.0,89.47,54.2115
4CNI,0.0,69.23,100.0,30.77,25.2516,14.29,53.85,85.71,46.15,25.3701,0.0,57.69,100.0,42.31,26.1768,14.29,73.08,85.71,26.92,11.8436
4ETQ,100.0,50.0,0.0,50.0,23.5111,100.0,39.29,0.0,60.71,23.9845,31.82,75.0,68.18,25.0,21.7428,100.0,50.0,0.0,50.0,25.6034
4ZPT,75.0,53.57,25.0,46.43,24.1872,100.0,71.43,0.0,28.57,22.1077,81.25,50.0,18.75,50.0,18.5961,100.0,85.71,0.0,14.29,36.1215
5D93,100.0,69.44,0.0,30.56,51.634,100.0,36.11,0.0,63.89,40.3238,47.37,66.67,52.63,33.33,40.3223,47.37,100.0,52.63,0.0,20.5135
1H0D,100.0,58.33,0.0,41.67,21.3976,100.0,41.67,0.0,58.33,25.5579,0.0,62.5,100.0,37.5,16.6859,100.0,62.5,0.0,37.5,23.7678
3EOA,100.0,55.56,0.0,44.44,26.474,100.0,40.74,0.0,59.26,26.944,100.0,33.33,0.0,66.67,25.5762,100.0,29.63,0.0,70.37,26.2259
5DUM,100.0,53.57,0.0,46.43,24.2926,0.0,75.0,100.0,25.0,21.7283,0.0,96.43,100.0,3.57,24.4858,0.0,100.0,100.0,0.0,26.5675
5TZU,100.0,70.83,0.0,29.17,38.9301,100.0,70.83,0.0,29.17,52.3453,100.0,62.5,0.0,37.5,40.6087,100.0,62.5,0.0,37.5,35.3384
5KVF,66.67,64.0,33.33,36.0,21.7973,66.67,68.0,33.33,32.0,20.9464,6.67,52.0,93.33,48.0,16.8246,66.67,100.0,33.33,0.0,18.1527
5LQB,0.0,41.67,100.0,58.33,22.2131,100.0,62.5,0.0,37.5,21.5389,23.08,62.5,76.92,37.5,17.8028,0.0,100.0,100.0,0.0,25.632
1AHW,0.0,51.72,100.0,48.28,36.2419,0.0,100.0,100.0,0.0,44.3737,100.0,34.48,0.0,65.52,44.045,0.0,100.0,100.0,0.0,46.1652
